100 4
0.033296 0.676925 0.943757 0.507151 
0.464158 0.956965 0.437072 0.260850 
0.299653 0.727204 0.160390 0.985758 
0.979605 0.400403 0.221824 0.176740 
0.218568 0.335374 0.918643 0.514779 
0.990861 0.476018 0.175994 0.335178 
0.550131 0.837139 0.123909 0.151184 
0.143501 0.599380 0.907435 0.434280 
0.434918 0.694943 0.347161 0.211470 
0.418779 0.602340 0.289298 0.637800 
0.833594 0.594936 0.370107 0.108823 
0.760428 0.633610 0.244210 0.142383 
0.698153 0.384450 0.646119 0.703302 
0.954119 0.597499 0.458591 0.206039 
0.696744 0.302386 0.184489 0.739551 
0.875732 0.434086 0.119166 0.472759 
0.407459 0.808377 0.978004 0.219774 
0.887793 0.563782 0.627581 0.197807 
0.021884 0.801817 0.341354 0.820844 
0.318558 0.797510 0.650089 0.302629 
0.152888 0.644559 0.497017 0.665130 
0.398356 0.115497 0.865451 0.699193 
0.748220 0.533205 0.351652 0.457791 
0.295749 0.870407 0.588229 0.357722 
0.988344 0.548580 0.031253 0.237458 
0.338580 0.882745 0.284892 0.548820 
0.768159 0.163818 0.736440 0.666002 
0.141753 0.419174 0.896239 0.555524 
0.351213 0.494809 0.334157 0.760836 
0.491583 0.347902 0.085845 0.865126 
0.513550 0.303649 0.672999 0.342761 
0.694384 0.083719 0.761300 0.305476 
0.740378 0.573185 0.100660 0.535297 
0.671835 0.734047 0.214178 0.620795 
0.754791 0.061295 0.600753 0.615429 
0.589508 0.470965 0.399744 0.206392 
0.945779 0.485214 0.208854 0.224601 
0.341265 0.441561 0.961685 0.450695 
0.600826 0.758163 0.186813 0.490278 
0.597861 0.019759 0.469872 0.593287 
0.688520 0.775247 0.235108 0.361218 
0.259429 0.610142 0.599322 0.484945 
0.244799 0.679199 0.526287 0.461501 
0.698172 0.423471 0.564211 0.544102 
0.292833 0.910666 0.354724 0.303192 
0.364052 0.696827 0.274194 0.649404 
0.049242 0.681913 0.662973 0.537717 
0.119299 0.365327 0.726916 0.869608 
0.084018 0.756883 0.921764 0.023374 
0.596052 0.221708 0.188915 0.962803 
0.324277 0.164131 0.766136 0.641896 
0.368383 0.483317 0.561905 0.366245 
0.260302 0.556764 0.748780 0.420026 
0.724698 0.603872 0.357269 0.316797 
0.014916 0.926108 0.574732 0.684819 
0.158859 0.560545 0.933105 0.392735 
0.410950 0.513116 0.497326 0.698397 
0.654330 0.302377 0.410794 0.616547 
0.274088 0.801900 0.463859 0.593751 
0.578826 0.495141 0.324654 0.806506 
0.844231 0.484624 0.298051 0.261439 
0.299974 0.833966 0.026761 0.875949 
0.358171 0.857160 0.450109 0.331092 
0.073658 0.850046 0.440876 0.449315 
0.105056 0.462789 0.903730 0.264403 
0.134094 0.763425 0.579181 0.421667 
0.882809 0.429868 0.575174 0.362871 
0.494345 0.632639 0.753282 0.081078 
0.797652 0.408368 0.445513 0.215160 
0.203220 0.991489 0.564520 0.183595 
0.455533 0.504313 0.227030 0.957002 
0.739008 0.693527 0.396221 0.304448 
0.520939 0.812409 0.567612 0.281949 
0.115358 0.740395 0.845641 0.232039 
0.111969 0.703303 0.123683 0.966190 
0.263669 0.370571 0.593646 0.762426 
0.402558 0.698533 0.345416 0.420703 
0.663946 0.043785 0.743296 0.533164 
0.326345 0.675612 0.917076 0.062584 
0.782132 0.882065 0.169623 0.235263 
0.436573 0.053268 0.650211 0.820639 
0.887207 0.513742 0.454219 0.121281 
0.011703 0.613100 0.909629 0.607082 
0.904039 0.613916 0.664311 0.328115 
0.863363 0.431900 0.370117 0.464323 
0.770055 0.160431 0.392932 0.362164 
0.923869 0.132393 0.793756 0.132365 
0.341295 0.214478 0.501083 0.647331 
0.541800 0.702082 0.084330 0.742497 
0.815554 0.146453 0.426219 0.456589 
0.413448 0.666031 0.546573 0.532268 
0.402932 0.470419 0.667420 0.708331 
0.619598 0.492593 0.462834 0.720900 
0.006516 0.867381 0.621159 0.680106 
0.772041 0.701864 0.524167 0.164523 
0.704941 0.674896 0.049451 0.598986 
0.673419 0.250502 0.698334 0.605139 
0.753831 0.729362 0.222701 0.457114 
0.886056 0.411050 0.697460 0.100340 
0.269032 0.668253 0.527469 0.643393 
